count,cover_percent,index_1,index_2,index_3,index_4,index_5
1,71.67%,26,,,,
1,71.67%,14,,,,
2,92.22%,26,127,,,
2,92.22%,14,127,,,
3,98.33%,3,82,192,,
4,99.76%,3,45,52,82,
4,99.76%,3,31,41,82,
4,99.76%,3,31,52,82,
4,99.76%,3,41,45,82,
5,100.00%,9,26,44,127,165
5,100.00%,3,9,45,52,91
5,100.00%,26,44,74,94,127
5,100.00%,9,26,44,93,127
5,100.00%,3,9,42,168,192
5,100.00%,14,44,74,93,127
5,100.00%,3,9,31,51,168
5,100.00%,3,9,12,44,168
5,100.00%,14,44,74,98,127
5,100.00%,3,42,74,82,192
5,100.00%,3,9,42,72,170
5,100.00%,3,9,42,66,82
5,100.00%,14,44,74,102,127
5,100.00%,3,9,31,55,168
5,100.00%,3,6,9,42,82
5,100.00%,9,14,44,127,157
5,100.00%,3,9,17,42,135
5,100.00%,3,9,29,42,169
5,100.00%,3,9,29,42,135
5,100.00%,3,11,31,51,100
5,100.00%,3,9,38,45,169
5,100.00%,14,44,74,95,127
5,100.00%,3,9,42,72,131
5,100.00%,3,11,31,39,96
5,100.00%,3,9,42,91,192
5,100.00%,3,9,31,39,158
5,100.00%,3,11,31,39,149
5,100.00%,3,9,31,39,152
5,100.00%,9,14,44,127,150
5,100.00%,9,26,44,127,135
5,100.00%,9,14,44,127,165
5,100.00%,3,9,12,44,169
5,100.00%,9,14,44,127,168
5,100.00%,3,9,42,118,192
5,100.00%,3,9,17,42,169
5,100.00%,3,9,42,169,192
5,100.00%,9,14,44,127,135
5,100.00%,3,9,39,45,158
5,100.00%,3,7,9,44,169
5,100.00%,3,9,31,38,169
5,100.00%,3,11,45,51,99
5,100.00%,3,9,31,52,168
5,100.00%,3,9,44,58,168
5,100.00%,3,9,44,59,168
5,100.00%,3,9,31,41,118
5,100.00%,3,9,39,45,149
5,100.00%,3,9,31,39,149
5,100.00%,14,44,74,127,151
5,100.00%,3,9,44,53,168
5,100.00%,3,9,44,118,127
5,100.00%,14,44,74,127,147
5,100.00%,3,9,39,45,168
5,100.00%,3,9,29,42,170
5,100.00%,9,14,44,111,127
5,100.00%,3,9,17,42,168
5,100.00%,9,26,44,110,127
5,100.00%,9,26,44,118,127
5,100.00%,3,9,44,127,169
5,100.00%,9,26,44,108,127
5,100.00%,3,9,41,45,168
5,100.00%,3,9,17,42,131
5,100.00%,9,14,44,127,162
5,100.00%,3,9,42,170,192
5,100.00%,3,9,44,127,168
5,100.00%,3,9,45,51,168
5,100.00%,26,44,74,93,127
5,100.00%,3,9,45,51,149
5,100.00%,3,9,45,51,99
5,100.00%,3,9,45,51,164
5,100.00%,3,9,22,44,168
5,100.00%,3,9,31,38,168
5,100.00%,3,9,45,51,103
5,100.00%,3,9,45,51,169
5,100.00%,3,9,45,51,152
5,100.00%,3,9,17,42,82
5,100.00%,9,14,44,127,170
5,100.00%,3,9,45,51,155
5,100.00%,3,11,45,51,149
5,100.00%,3,9,41,45,91
5,100.00%,3,9,45,51,100
5,100.00%,3,9,45,51,158
5,100.00%,3,9,45,51,96
5,100.00%,3,9,31,51,100
5,100.00%,3,9,31,39,168
5,100.00%,3,11,31,39,100
5,100.00%,3,9,42,43,135
5,100.00%,3,9,41,45,170
5,100.00%,9,14,44,127,151
5,100.00%,9,14,44,127,169
5,100.00%,3,9,31,41,168
5,100.00%,3,9,41,45,82
5,100.00%,3,11,31,39,103
5,100.00%,3,9,38,45,168
5,100.00%,9,14,44,127,131
5,100.00%,9,14,44,127,147
5,100.00%,3,9,31,39,99
5,100.00%,3,9,45,52,168
5,100.00%,3,9,45,52,170
5,100.00%,3,9,39,45,99
5,100.00%,3,9,45,55,168
5,100.00%,3,9,31,39,100
5,100.00%,3,9,39,45,164
5,100.00%,3,9,39,45,155
5,100.00%,3,9,45,52,82
5,100.00%,9,14,44,127,154
5,100.00%,3,9,42,66,168
5,100.00%,3,11,31,39,155
5,100.00%,3,9,39,45,103
5,100.00%,9,14,44,82,127
5,100.00%,3,9,42,72,168
5,100.00%,3,9,45,52,169
5,100.00%,3,9,44,127,170
5,100.00%,3,11,31,39,99
5,100.00%,3,9,31,51,149
5,100.00%,9,14,44,118,127
5,100.00%,3,9,39,45,169
5,100.00%,9,14,44,94,127
5,100.00%,9,14,44,98,127
5,100.00%,3,9,31,51,103
5,100.00%,9,14,44,102,127
5,100.00%,3,11,39,45,103
5,100.00%,3,9,31,41,91
5,100.00%,3,9,41,45,169
5,100.00%,3,9,31,39,155
5,100.00%,3,11,31,39,152
5,100.00%,3,9,31,51,99
5,100.00%,9,14,44,108,127
5,100.00%,3,9,29,42,131
5,100.00%,3,9,41,45,118
5,100.00%,3,9,42,43,118
5,100.00%,9,14,44,93,127
5,100.00%,9,14,44,95,127
5,100.00%,9,14,44,110,127
5,100.00%,3,9,44,59,169
5,100.00%,9,14,44,91,127
5,100.00%,3,11,45,51,100
5,100.00%,3,9,44,91,127
5,100.00%,3,11,45,51,103
5,100.00%,3,9,44,82,127
5,100.00%,3,9,31,51,152
5,100.00%,3,9,31,51,169
5,100.00%,3,9,31,41,169
5,100.00%,3,9,31,51,155
5,100.00%,3,9,31,51,158
5,100.00%,3,9,31,41,170
5,100.00%,3,9,31,39,169
5,100.00%,9,26,44,91,127
5,100.00%,3,11,31,51,149
5,100.00%,3,9,42,82,192
5,100.00%,3,9,31,51,164
5,100.00%,3,9,31,51,96
5,100.00%,9,26,44,127,168
5,100.00%,14,44,74,127,154
5,100.00%,3,9,42,43,168
5,100.00%,3,11,31,51,99
5,100.00%,14,44,74,127,150
5,100.00%,3,9,31,41,82
5,100.00%,3,9,39,45,100
5,100.00%,3,9,31,52,170
5,100.00%,9,26,44,102,127
5,100.00%,3,11,42,82,192
5,100.00%,3,9,31,39,96
5,100.00%,3,9,31,39,103
5,100.00%,9,26,44,127,157
5,100.00%,3,9,22,44,169
5,100.00%,3,11,31,51,96
5,100.00%,9,26,44,127,162
5,100.00%,3,7,9,44,168
5,100.00%,3,9,29,42,168
5,100.00%,3,9,42,43,170
5,100.00%,9,26,44,127,154
5,100.00%,3,9,31,52,118
5,100.00%,9,26,44,127,151
5,100.00%,3,9,17,42,118
5,100.00%,3,9,29,42,118
5,100.00%,14,44,74,94,127
5,100.00%,9,26,44,95,127
5,100.00%,9,26,44,82,127
5,100.00%,3,9,44,58,169
5,100.00%,9,26,44,127,170
5,100.00%,3,9,31,39,164
5,100.00%,26,44,74,102,127
5,100.00%,3,9,44,53,169
5,100.00%,9,26,44,127,150
5,100.00%,26,44,74,127,147
5,100.00%,3,11,31,51,103
5,100.00%,3,11,31,51,152
5,100.00%,9,26,44,127,147
5,100.00%,3,11,31,51,155
5,100.00%,9,26,44,127,131
5,100.00%,9,26,44,111,127
5,100.00%,3,9,31,55,169
5,100.00%,9,26,44,127,169
5,100.00%,9,26,44,94,127
5,100.00%,3,6,9,42,91
5,100.00%,26,44,74,127,150
5,100.00%,3,9,17,42,170
5,100.00%,9,26,44,98,127
5,100.00%,26,44,74,127,151
5,100.00%,3,9,31,52,82
5,100.00%,3,9,31,52,169
5,100.00%,3,9,42,43,131
5,100.00%,3,9,31,52,91
5,100.00%,3,9,17,42,91
5,100.00%,3,9,42,43,82
5,100.00%,3,9,42,43,169
5,100.00%,26,44,74,127,154
5,100.00%,3,9,42,72,82
5,100.00%,3,9,45,52,118
5,100.00%,3,9,42,43,91
5,100.00%,26,44,74,95,127
5,100.00%,26,44,74,98,127
5,100.00%,3,9,39,45,96
5,100.00%,3,6,9,42,118
5,100.00%,3,9,42,66,131
5,100.00%,3,11,39,45,149
5,100.00%,3,6,9,42,135
5,100.00%,3,11,45,51,155
5,100.00%,3,6,9,42,131
5,100.00%,3,9,42,66,169
