count,Coverage,index_1,index_2,index_3,index_4,index_5,index_6,index_7
1,71.66666667%,1,,,,,,
1,71.66666667%,2,,,,,,
2,92.22222222%,1,30,,,,,
2,92.22222222%,2,30,,,,,
3,96.11111111%,1,5,30,,,,
3,96.11111111%,1,4,30,,,,
3,96.11111111%,2,5,30,,,,
3,96.11111111%,2,4,30,,,,
4,97.93650794%,1,5,20,30,,,
4,97.93650794%,1,4,20,30,,,
4,97.93650794%,2,5,20,30,,,
4,97.93650794%,2,4,20,30,,,
5,98.25396825%,1,3,5,20,30,,
5,98.25396825%,1,4,11,17,30,,
5,98.25396825%,2,4,11,17,30,,
5,98.25396825%,1,4,9,12,30,,
5,98.25396825%,1,4,9,20,30,,
5,98.25396825%,2,4,9,20,30,,
5,98.25396825%,1,4,11,19,30,,
5,98.25396825%,1,3,4,20,30,,
5,98.25396825%,2,3,4,20,30,,
5,98.25396825%,1,4,11,18,30,,
5,98.25396825%,1,5,11,19,30,,
5,98.25396825%,2,4,9,12,30,,
5,98.25396825%,1,4,9,30,32,,
5,98.25396825%,2,4,9,30,32,,
5,98.25396825%,1,5,9,20,30,,
5,98.25396825%,2,5,9,20,30,,
5,98.25396825%,1,4,11,30,31,,
5,98.25396825%,2,5,9,30,32,,
5,98.25396825%,1,5,9,30,32,,
5,98.25396825%,1,5,9,12,30,,
5,98.25396825%,2,5,9,12,30,,
5,98.25396825%,1,5,11,17,30,,
5,98.25396825%,2,5,11,17,30,,
5,98.25396825%,2,4,11,19,30,,
5,98.25396825%,2,3,5,20,30,,
5,98.25396825%,2,4,11,30,31,,
5,98.25396825%,2,4,11,18,30,,
5,98.25396825%,2,5,11,19,30,,
5,98.25396825%,1,5,11,18,30,,
5,98.25396825%,1,5,11,30,31,,
5,98.25396825%,2,5,11,30,31,,
5,98.25396825%,2,5,11,18,30,,
6,98.57142857%,2,3,4,9,20,30,
6,98.57142857%,1,3,4,11,30,31,
6,98.57142857%,1,3,4,11,17,30,
6,98.57142857%,1,3,5,11,17,30,
6,98.57142857%,1,3,4,11,19,30,
6,98.57142857%,1,3,4,9,20,30,
6,98.57142857%,1,3,4,9,12,30,
6,98.57142857%,2,3,4,9,12,30,
6,98.57142857%,1,3,4,11,18,30,
6,98.57142857%,1,3,5,11,19,30,
6,98.57142857%,1,3,5,11,18,30,
6,98.57142857%,1,3,5,11,30,31,
6,98.57142857%,1,3,4,9,30,32,
6,98.57142857%,2,3,4,9,30,32,
6,98.57142857%,2,3,4,11,18,30,
6,98.57142857%,2,3,4,11,30,31,
6,98.57142857%,1,3,5,9,20,30,
6,98.57142857%,2,3,4,11,17,30,
6,98.57142857%,2,3,4,11,19,30,
6,98.57142857%,1,3,5,9,12,30,
6,98.57142857%,1,3,5,9,30,32,
6,98.57142857%,2,3,5,9,12,30,
6,98.57142857%,2,3,5,9,30,32,
6,98.57142857%,2,3,5,11,19,30,
6,98.57142857%,2,3,5,11,18,30,
6,98.57142857%,2,3,5,11,17,30,
6,98.57142857%,2,3,5,11,30,31,
6,98.57142857%,2,3,5,9,20,30,
7,98.80952381%,2,3,4,9,11,20,30
7,98.80952381%,1,3,4,9,11,19,30
7,98.80952381%,1,3,4,9,11,20,30
7,98.80952381%,1,3,4,9,11,18,30
7,98.80952381%,2,3,4,9,11,18,30
7,98.80952381%,1,3,4,9,11,12,30
7,98.80952381%,1,3,5,9,11,12,30
7,98.80952381%,1,3,4,9,11,30,31
7,98.80952381%,1,3,4,9,11,17,30
7,98.80952381%,1,3,4,9,11,30,32
7,98.80952381%,2,3,4,9,11,30,31
7,98.80952381%,2,3,4,9,11,17,30
7,98.80952381%,1,3,5,9,11,30,31
7,98.80952381%,1,3,5,9,11,17,30
7,98.80952381%,2,3,4,9,11,19,30
7,98.80952381%,2,3,4,9,11,12,30
7,98.80952381%,2,3,4,9,11,30,32
7,98.80952381%,2,3,5,9,11,20,30
7,98.80952381%,2,3,5,9,11,30,32
7,98.80952381%,2,3,5,9,11,12,30
7,98.80952381%,2,3,5,9,11,19,30
7,98.80952381%,2,3,5,9,11,17,30
7,98.80952381%,2,3,5,9,11,30,31
7,98.80952381%,2,3,5,9,11,18,30
7,98.80952381%,1,3,5,9,11,18,30
7,98.80952381%,1,3,5,9,11,19,30
7,98.80952381%,1,3,5,9,11,20,30
7,98.80952381%,1,3,5,9,11,30,32
