count,Coverage,index_1,index_2,index_3,index_4,index_5,index_6,index_7
1,71.66666667%,v115@AhBtDewhQ4ywBti0whR4wwRpilg0whAeQ4AeRpglCe?whJeAgH,,,,,,
1,71.66666667%,v115@9gwhCeBtDewhQ4ywBti0whR4wwRpilg0whAeQ4AeRp?glMeAgH,,,,,,
2,92.22222222%,v115@AhBtDewhQ4ywBti0whR4wwRpilg0whAeQ4AeRpglCe?whJeAgH,v115@ChRpBewhglDeRpAeg0whglBtywR4g0whhlBtwwR4h0?whJeAgHChRpBeAtg0DeRpAeBti0xwglAtQ4AtwhQayhwwBt?glAPwhJeAgH,,,,,
2,92.22222222%,v115@9gwhCeBtDewhQ4ywBti0whR4wwRpilg0whAeQ4AeRp?glMeAgH,v115@ChRpBewhglDeRpAeg0whglBtywR4g0whhlBtwwR4h0?whJeAgHChRpBeAtg0DeRpAeBti0xwglAtQ4AtwhQayhwwBt?glAPwhJeAgH,,,,,
3,96.11111111%,v115@AhBtDewhQ4ywBti0whR4wwRpilg0whAeQ4AeRpglCe?whJeAgH,v115@9gwhEehlBewhQ4BtywglRpwhR4Btwwg0glRpwhAeQ4?Cei0KeAgH,v115@ChRpBewhglDeRpAeg0whglBtywR4g0whhlBtwwR4h0?whJeAgHChRpBeAtg0DeRpAeBti0xwglAtQ4AtwhQayhwwBt?glAPwhJeAgH,,,,
3,96.11111111%,v115@AhBtDewhQ4ywBti0whR4wwRpilg0whAeQ4AeRpglCe?whJeAgH,v115@ChhlBewhQ4BtywglRpwhR4Btwwg0glRpwhAeQ4Cei0?AewhJeAgH,v115@ChRpBewhglDeRpAeg0whglBtywR4g0whhlBtwwR4h0?whJeAgHChRpBeAtg0DeRpAeBti0xwglAtQ4AtwhQayhwwBt?glAPwhJeAgH,,,,
3,96.11111111%,v115@9gwhCeBtDewhQ4ywBti0whR4wwRpilg0whAeQ4AeRp?glMeAgH,v115@9gwhEehlBewhQ4BtywglRpwhR4Btwwg0glRpwhAeQ4?Cei0KeAgH,v115@ChRpBewhglDeRpAeg0whglBtywR4g0whhlBtwwR4h0?whJeAgHChRpBeAtg0DeRpAeBti0xwglAtQ4AtwhQayhwwBt?glAPwhJeAgH,,,,
3,96.11111111%,v115@9gwhCeBtDewhQ4ywBti0whR4wwRpilg0whAeQ4AeRp?glMeAgH,v115@ChhlBewhQ4BtywglRpwhR4Btwwg0glRpwhAeQ4Cei0?AewhJeAgH,v115@ChRpBewhglDeRpAeg0whglBtywR4g0whhlBtwwR4h0?whJeAgHChRpBeAtg0DeRpAeBti0xwglAtQ4AtwhQayhwwBt?glAPwhJeAgH,,,,
4,97.93650794%,v115@AhBtDewhQ4ywBti0whR4wwRpilg0whAeQ4AeRpglCe?whJeAgH,v115@9gwhEehlBewhQ4BtywglRpwhR4Btwwg0glRpwhAeQ4?Cei0KeAgH,v115@AhRpBeAtBeglBeRpAeBtBeglywR4Ati0hlwwR4zhg0?JeAgH,v115@ChRpBewhglDeRpAeg0whglBtywR4g0whhlBtwwR4h0?whJeAgHChRpBeAtg0DeRpAeBti0xwglAtQ4AtwhQayhwwBt?glAPwhJeAgH,,,
4,97.93650794%,v115@AhBtDewhQ4ywBti0whR4wwRpilg0whAeQ4AeRpglCe?whJeAgH,v115@ChhlBewhQ4BtywglRpwhR4Btwwg0glRpwhAeQ4Cei0?AewhJeAgH,v115@AhRpBeAtBeglBeRpAeBtBeglywR4Ati0hlwwR4zhg0?JeAgH,v115@ChRpBewhglDeRpAeg0whglBtywR4g0whhlBtwwR4h0?whJeAgHChRpBeAtg0DeRpAeBti0xwglAtQ4AtwhQayhwwBt?glAPwhJeAgH,,,
4,97.93650794%,v115@9gwhCeBtDewhQ4ywBti0whR4wwRpilg0whAeQ4AeRp?glMeAgH,v115@9gwhEehlBewhQ4BtywglRpwhR4Btwwg0glRpwhAeQ4?Cei0KeAgH,v115@AhRpBeAtBeglBeRpAeBtBeglywR4Ati0hlwwR4zhg0?JeAgH,v115@ChRpBewhglDeRpAeg0whglBtywR4g0whhlBtwwR4h0?whJeAgHChRpBeAtg0DeRpAeBti0xwglAtQ4AtwhQayhwwBt?glAPwhJeAgH,,,
4,97.93650794%,v115@9gwhCeBtDewhQ4ywBti0whR4wwRpilg0whAeQ4AeRp?glMeAgH,v115@ChhlBewhQ4BtywglRpwhR4Btwwg0glRpwhAeQ4Cei0?AewhJeAgH,v115@AhRpBeAtBeglBeRpAeBtBeglywR4Ati0hlwwR4zhg0?JeAgH,v115@ChRpBewhglDeRpAeg0whglBtywR4g0whhlBtwwR4h0?whJeAgHChRpBeAtg0DeRpAeBti0xwglAtQ4AtwhQayhwwBt?glAPwhJeAgH,,,
