index,collection_ref,fumen,fumen_congruent,cover_percent
0,0,v115@AhB8CeA8AeT8AeA8AeB8CeB8JeAgWGAqSFgCaNBAA,v115@AhBtCeglAeQ4ywBtilg0R4wwRpzhg0AeQ4AeRpCeh0?JeAgH,39.84
1,1,v115@AhB8DeU8AeA8AeC8CeA8JeAgWGAp/LgCaNBAA,v115@AhBtDewhQ4ywBti0whR4wwRpilg0whAeQ4AeRpglCe?whJeAgH,71.67
2,2,v115@9gA8CeB8DeU8AeA8AeC8MeAgWGAqyaFDT+AAA,v115@9gwhCeBtDewhQ4ywBti0whR4wwRpilg0whAeQ4AeRp?glMeAgH,71.67
3,3,v115@4gA8IeC8BeT8AeA8CeC8LeAgWGAMuaPCaNBAA,v115@4gg0Iei0BeQ4BtywzhR4BtwwRpilAeQ4CeRpglLeAg?H,34.76
4,4,v115@ChB8BeU8AeA8CeC8AeA8JeAgWGAJn/VCaNBAA,v115@ChhlBewhQ4BtywglRpwhR4Btwwg0glRpwhAeQ4Cei0?AewhJeAgH,58.33
5,5,v115@9gA8EeB8BeU8AeA8CeC8KeAgWGAv/TFDT+AAA,v115@9gwhEehlBewhQ4BtywglRpwhR4Btwwg0glRpwhAeQ4?Cei0KeAgH,58.33
6,6,v115@6gA8IeW8CeA8CeC8JeAgWGAJ3jFDqCBAA,v115@6gQ4IeR4whilBtywQ4whgli0BtwwRpwhCeg0CeRpwh?JeAgH,55
7,7,v115@7gA8AeA8GeW8CeA8CeB8JeAgWGAPtzPCM+AAA,v115@7gQ4AewhGeR4whilBtywQ4whgli0BtwwRpwhCeg0Ce?RpJeAgH,55
8,9,v115@7gA8BeA8FeX8FeB8JeAgWGAPtzPCM+AAA,v115@7gQ4Beg0FeR4gli0BtywQ4glzhBtwwRphlFeRpJeAg?H,23.81
9,10,v115@7gA8DeA8DeV8BeB8DeB8JeAgWGAPt3LC6CBAA,v115@7gQ4Deg0DeR4ili0ywQ4glBtzhwwRpBeBtDeRpJeAg?H,29.29
10,11,v115@7gA8BeA8FeV8AeA8DeA8AeB8JeAgWGAPt3LC6CBAA,v115@7gQ4BeAtFeR4BtzhywQ4Atili0wwRpAeglDeg0AeRp?JeAgH,48.02
11,14,v115@AhC8DeA8BeC8BeA8AeT8JeAgWGAz3HgCpCBAA,v115@AhRpg0DeglBeRpg0BeQ4Aeglywh0BtR4hlwwzhBtQ4?JeAgH,42.22
12,15,v115@AhC8DeA8BeD8CeT8JeAgWGAPe/VCzXBAA,v115@AhQ4BtDeglBeR4BtCeglywQ4i0Rphlwwzhg0RpJeAg?HAhi0DeglBeBtg0Q4CeglxwgWBeR4RpAeglwwhHxSQ4RpJe?AgH,66.67
13,16,v115@9gB8AeA8FeE8EeT8JeAgWGAPe/VCzXBAA,v115@9gBtAeQ4FeglBtR4EeglywQ4i0Rphlwwzhg0RpJeAg?H,28.57
14,17,v115@ChA8DeA8BeF8AeT8JeAgWGAvvjFDpCBAA,v115@ChQ4DeglBeBtR4h0AeglywBtQ4g0Rphlwwzhg0RpJe?AgH,37.3
15,18,v115@ChA8DeA8BeD8AeV8JeAgWGAvvjFDpCBAA,v115@ChQ4DeglBeBtR4AeRpglywBtQ4g0Rphlwwzhi0JeAg?H,40.48
16,19,v115@AhA8FeA8BeD8AeV8JeAgWGAqHztCpCBAA,v115@AhQ4FeglBeR4RpAeAtg0glywQ4RpBtg0hlwwzhAth0?JeAgH,42.38
17,20,v115@8gA8IeB8BeB8AeA8AeV8JeAgWGAPujFDs/AAA,v115@8gg0Ieg0glBeBtAeQ4Aeh0glywBtR4RphlwwzhQ4Rp?JeAgH,54.13
18,21,v115@7gA8IeA8AeA8BeB8AeC8AeT8JeAgWGAPujFDs/AAA,v115@7gg0Ieg0AeglBeBtAeQ4h0AeglywBtR4RphlwwzhQ4?RpJeAgH,48.97
19,22,v115@EhA8BeA8BeB8AeX8JeAgWGAPujFDs/AAA,v115@Ehg0BeglBeBtAeQ4i0glywBtR4RphlwwzhQ4RpJeAg?H,48.97
20,23,v115@AhB8BeA8BeA8BeB8AeB8BeT8JeAgWGA6PFgCzCBAA,v115@AhRpBeAtBeglBeRpAeBtBeglywR4Ati0hlwwR4zhg0?JeAgH,50.48
21,25,v115@AhA8FeA8BeF8AeT8JeAgWGA6vytCpCBAA,v115@AhQ4FeglBeR4RpBtAeglywQ4Rpg0Bthlwwzhi0JeAg?H,42.38
22,29,v115@/gA8AeB8EeB8AeB8CeU8JeAgWGAMuytC6/AAA,v115@/gAtAeRpEeBtAeRpCeglg0AtywR4ili0wwR4zhJeAg?H,18.1
23,31,v115@9gA8IeB8BeB8AeW8JeAgWGAvibMCz/AAA,v115@9gQ4IeR4BeBtAeilg0Q4ywBtglRpi0wwzhRpJeAgH,41.35
24,32,v115@ChA8AeB8AeA8DeD8AeT8JeAgWGAp/TFDTHBAA,v115@ChQ4AeRpAeglDeR4RpAeglBtywQ4i0hlBtwwzhg0Je?AgH,29.21
25,33,v115@ChA8BeC8DeB8AeV8JeAgWGAp/TFDTHBAA,v115@ChQ4BeRpglDeR4AeRpglBtywQ4i0hlBtwwzhg0JeAg?H,29.21
26,34,v115@/gB8AeA8DeA8AeB8AeB8CeT8JeAgWGAp/TFDTHBAA,v115@/gRpAeQ4DeglAeRpAeR4CeglBtywQ4i0hlBtwwzhg0?JeAgH,14.29
27,35,v115@+gB8BeA8DeC8BeB8CeT8JeAgWGAp/TFDTHBAA,v115@+gRpBeQ4DeglRpBeR4CeglBtywQ4i0hlBtwwzhg0Je?AgH+gAtg0BeQ4DeBtg0BeR4CeAtRpxwgWQ4glRpQahWwhww?RLglRpJeAgH,53.49
28,37,v115@ChC8BeA8DeD8AeT8JeAgWGAzvCMC6CBAA,v115@ChRpg0BeglDeRpg0Q4AeglBtywh0R4hlBtwwzhQ4Je?AgHChQ4BtBeg0DeR4BtAei0xwglAtAPRpQayhwwRaBPQpJe?AgH,53.89
29,39,v115@9gB8CeA8DeC8BeB8CeT8JeAgWGAvSNPCzXBAA,v115@9gBtCeQ4Deg0BtBeR4Cei0ywQ4glRpzhwwilRpJeAg?H,26.11
